"HolderAddress","Balance","PendingBalanceUpdate"
"0x0685a8edc6c454a56f5334ea234537d197facef4","4,062.293820337866118345","No"
"0xa14a16374278ccdf87c19ca26ebd8853d36dc47a","3,752.906018479333789622","No"
"0x51fb417ba3d1310dd3a0277ea27c53363c90c495","3,627.281131188729327936","No"
"0x47d63878b0cd56754823b23666b8ec99800b088d","3,529.22553300346085547","No"
"0xbb8ebbd921f3bc8719d0233bc8581d1ebf6fe469","3,528.584155204340864971","No"
"0xfa389b17e935ebdad14e6e701be67e27075c81b1","3,437.461336694134417291","No"
"0x11ff5d408f6aa0366620f2833b4cd35603c08eeb","3,293.565975981886581708","No"
"0xe1926a7cbe64557ce1a6e9d8b1592130acdfb088","3,207.829025313862086746","No"
"0x84e754b9f797a6d7e0f3f3e1a68fa3d15905ae8a","3,191.71765518165287547","No"
"0xb209ace258d2b0d3a0374df1b77b6ea13667e1d2","3,152.764331748547572427","No"
"0xd52d391ebdfe9708346fa5017076d5d190493f78","3,118.395236606327608726","No"
"0xa212763d2bddb0bd704f1df9ab9f3a6b64aca633","3,087.200653003510391204","No"
"0xc693b4ffb338579467a541b2bf267b1955870920","3,025.26820041381673112","No"
"0x2034cf4a111d4d6dfc70fa53dba401cf863716a4","2,990.832864273526293634","No"
"0x7f12ff9f2682001205fbef6780588a2dad40953d","2,935.271129514394998912","No"
"0x4e8d5466f7e3f2c8521a268f19deb1cfa59f1ce5","2,869.638629735931009231","No"
"0x33c27d581a00cde679be9f105b3eac8fb237e727","2,861.235919745960717399","No"
"0xebe07fb7f85cc42ec36ba64aa3fdc799e51abcaf","2,851.999928857066279701","No"
"0x10db3fb8a96153390626fb5891dd3322f098ea8d","2,751.440104995434272541","No"
"0xe781b7d8fc09f7bdbedc4415b971abce566ed7cd","2,713.386334596065071349","No"
"0x77fc6e36d82010b2263b76959720e9ee2c947467","2,680.297860064563919517","No"
"0x39ee119d807faf7025b90236d8b5a9c0ebbcdfeb","2,654.179639236558714087","No"
"0x19e32a092589459a7b9d46c6136b5f53ba0963a1","2,585.885019248524676927","No"
"0xc91243de8b1c0ab4c8d5fafe2cfc41193aaff011","2,561.726796633979516104","No"
"0x2004382af56c7d4a8753b81d3197d91c168561af","2,555.357617107162138739","No"
"0x7cc3bc95c99dd5a6b9e8a59f42e60860bc6753b1","2,515.176010750163475299","No"
"0xf144d17b2635a879293ba267b1f2f8bda457286e","2,514.467631532779163604","No"
"0x2dba919e4c9ef91a4b142c430c37ae770d227371","2,509.079326021159109641","No"
"0xbda2ae0db2d482e45cb3127e3bd13dece950530c","2,505.165662487721130539","No"
"0x41c9f4d02aa947177b9ac7af0e9bacd341a94ec2","2,497.709721059161677387","No"
"0xda344353fb1ab3b267ec7098fb0546c0164619a9","2,493.542130294231076105","No"
"0xfd1c1de979c88a5a4bf8c6c54c3bf5fa7eb9dd8d","2,465.562112011642289149","No"
"0xf2eb395323890d2207d9fbaab29f720ebc358d49","2,458.870118631839821357","No"
"0x0311c4f0fe94123350a3a3c74b342e99ccb3c5f5","2,456.103830884797929471","No"
